_lerpT,_lerp1,_lerp2,_hoverPositionY
0,1.92,2.12,1.92
0.000824074,1.92,2.12,1.920165
0.003259259,1.92,2.12,1.920652
0.2301454,1.92,2.12,1.966029
0.2828682,1.92,2.12,1.976574
0.3365304,1.92,2.12,1.987306
0.3559341,1.92,2.12,1.991187
0.3752971,1.92,2.12,1.995059
0.406145,1.92,2.12,2.001229
0.4144733,1.92,2.12,2.002895
0.4346606,1.92,2.12,2.006932
0.4547607,1.92,2.12,2.010952
0.4746292,1.92,2.12,2.014926
0.4947809,1.92,2.12,2.018956
0.51509,1.92,2.12,2.023018
0.5351948,1.92,2.12,2.027039
0.5553057,1.92,2.12,2.031061
0.5755686,1.92,2.12,2.035114
0.5956585,1.92,2.12,2.039132
0.615092,1.92,2.12,2.043018
0.6342143,1.92,2.12,2.046843
0.6539766,1.92,2.12,2.050795
0.6731805,1.92,2.12,2.054636
0.6920919,1.92,2.12,2.058418
0.7105122,1.92,2.12,2.062102
0.7290784,1.92,2.12,2.065816
0.746812,1.92,2.12,2.069362
0.7644251,1.92,2.12,2.072885
0.7824228,1.92,2.12,2.076484
0.7990818,1.92,2.12,2.079816
0.8150711,1.92,2.12,2.083014
0.8308688,1.92,2.12,2.086174
0.8461785,1.92,2.12,2.089236
0.8611339,1.92,2.12,2.092227
0.8748521,1.92,2.12,2.09497
0.8887966,1.92,2.12,2.097759
0.9013999,1.92,2.12,2.10028
0.9137627,1.92,2.12,2.102752
0.9255444,1.92,2.12,2.105109
0.9362345,1.92,2.12,2.107247
0.9462362,1.92,2.12,2.109247
0.9556165,1.92,2.12,2.111123
0.9641807,1.92,2.12,2.112836
0.9718652,1.92,2.12,2.114373
0.9787327,1.92,2.12,2.115746
0.9846305,1.92,2.12,2.116926
0.9896259,1.92,2.12,2.117925
0.9937236,1.92,2.12,2.118745
0.9968676,1.92,2.12,2.119373
0.9988893,1.92,2.12,2.119778
0.9998935,1.92,2.12,2.119979
0.9998935,1.92,2.12,2.12
0,2.12,1.92,2.12
0.0005278429,2.12,1.92,2.119894
0.0021111,2.12,1.92,2.119578
0.004723785,2.12,1.92,2.119055
0.008299613,2.12,1.92,2.11834
0.01299135,2.12,1.92,2.117402
0.01843549,2.12,1.92,2.116313
0.02489318,2.12,1.92,2.115021
0.0321641,2.12,1.92,2.113567
0.04027618,2.12,1.92,2.111945
0.04913199,2.12,1.92,2.110173
0.05878145,2.12,1.92,2.108244
0.06951588,2.12,1.92,2.106097
0.08108602,2.12,1.92,2.103783
0.0929541,2.12,1.92,2.101409
0.1055442,2.12,1.92,2.098891
0.1185642,2.12,1.92,2.096287
0.1326281,2.12,1.92,2.093474
0.1474812,2.12,1.92,2.090504
0.1623654,2.12,1.92,2.087527
0.177962,2.12,1.92,2.084408
0.1939428,2.12,1.92,2.081211
0.2101434,2.12,1.92,2.077971
0.2271424,2.12,1.92,2.074571
0.244366,2.12,1.92,2.071127
0.26224,2.12,1.92,2.067552
0.2808605,2.12,1.92,2.063828
0.2990463,2.12,1.92,2.060191
0.3177378,2.12,1.92,2.056452
0.3367095,2.12,1.92,2.052658
0.3558938,2.12,1.92,2.048821
0.3753879,2.12,1.92,2.044922
0.3952346,2.12,1.92,2.040953
0.4149149,2.12,1.92,2.037017
0.4348681,2.12,1.92,2.033026
0.4550069,2.12,1.92,2.028999
0.4750747,2.12,1.92,2.024985
0.4952691,2.12,1.92,2.020946
0.5156392,2.12,1.92,2.016872
0.535421,2.12,1.92,2.012916
0.5557772,2.12,1.92,2.008844
0.5756133,2.12,1.92,2.004877
0.5958655,2.12,1.92,2.000827
0.6154189,2.12,1.92,1.996916
0.6346298,2.12,1.92,1.993074
0.6543747,2.12,1.92,1.989125
0.6733962,2.12,1.92,1.985321
0.6923957,2.12,1.92,1.981521
0.710969,2.12,1.92,1.977806
0.7291641,2.12,1.92,1.974167
0.7469841,2.12,1.92,1.970603
0.7648891,2.12,1.92,1.967022
0.7819309,2.12,1.92,1.963614
0.798852,2.12,1.92,1.96023
0.814992,2.12,1.92,1.957002
0.8308389,2.12,1.92,1.953832
0.8462652,2.12,1.92,1.950747
0.8608777,2.12,1.92,1.947824
0.8749505,2.12,1.92,1.94501
0.8887141,2.12,1.92,1.942257
0.9016474,2.12,1.92,1.93967
0.9139704,2.12,1.92,1.937206
0.925461,2.12,1.92,1.934908
0.9364007,2.12,1.92,1.93272
0.9464448,2.12,1.92,1.930711
0.9558018,2.12,1.92,1.92884
0.9643136,2.12,1.92,1.927137
0.9720383,2.12,1.92,1.925592
0.9787992,2.12,1.92,1.92424
0.9847431,2.12,1.92,1.923051
0.9897231,2.12,1.92,1.922055
0.9937932,2.12,1.92,1.921241
0.9968481,2.12,1.92,1.92063
0.9988775,2.12,1.92,1.920224
0.9998993,2.12,1.92,1.92002
0.9998993,1.92,2.12,1.82002
0,1.92,2.12,1.92
0.0005190648,1.92,2.12,1.920104
0.002121363,1.92,2.12,1.920424
0.004728671,1.92,2.12,1.920946
0.00835656,1.92,2.12,1.921671
0.01290516,1.92,2.12,1.922581
0.01847675,1.92,2.12,1.923695
0.02484083,1.92,2.12,1.924968
0.03217149,1.92,2.12,1.926434
0.04040881,1.92,2.12,1.928082
0.04927666,1.92,2.12,1.929855
0.058992,1.92,2.12,1.931798
0.0695895,1.92,2.12,1.933918
0.08072879,1.92,2.12,1.936146
0.09283762,1.92,2.12,1.938568
0.1056851,1.92,2.12,1.941137
0.1187695,1.92,2.12,1.943754
0.1328053,1.92,2.12,1.946561
0.1470854,1.92,2.12,1.949417
0.1621159,1.92,2.12,1.952423
0.1776928,1.92,2.12,1.955539
0.1937145,1.92,2.12,1.958743
0.2105165,1.92,2.12,1.962103
0.2275017,1.92,2.12,1.9655
0.2448529,1.92,2.12,1.968971
0.2627293,1.92,2.12,1.972546
0.2807824,1.92,2.12,1.976156
0.2993807,1.92,2.12,1.979876
0.3183695,1.92,2.12,1.983674
0.3376307,1.92,2.12,1.987526
0.3694563,1.92,2.12,1.993891
0.390278,1.92,2.12,1.998056
0.4189373,1.92,2.12,2.003787
0.4466331,1.92,2.12,2.009326
0.4666751,1.92,2.12,2.013335
0.4864346,1.92,2.12,2.017287
0.5072997,1.92,2.12,2.02146
0.5290701,1.92,2.12,2.025814
0.5478874,1.92,2.12,2.029577
0.568116,1.92,2.12,2.033623
0.5967343,1.92,2.12,2.039347
0.6263936,1.92,2.12,2.045279
0.6552046,1.92,2.12,2.051041
0.6847968,1.92,2.12,2.056959
0.7213658,1.92,2.12,2.064273
0.7483259,1.92,2.12,2.069665
0.7751091,1.92,2.12,2.075022
0.8082736,1.92,2.12,2.081655
0.8241166,1.92,2.12,2.084823
0.8467679,1.92,2.12,2.089354
0.861922,1.92,2.12,2.092384
0.8759432,1.92,2.12,2.095189
0.8895493,1.92,2.12,2.09791
0.9026529,1.92,2.12,2.10053
0.9208344,1.92,2.12,2.104167
0.9317077,1.92,2.12,2.106341
0.9422454,1.92,2.12,2.108449
0.9520061,1.92,2.12,2.110401
0.9606581,1.92,2.12,2.112132
0.972361,1.92,2.12,2.114472
0.9790435,1.92,2.12,2.115808
0.9849257,1.92,2.12,2.116985
0.9898657,1.92,2.12,2.117973
0.9939284,1.92,2.12,2.118786
0.9970065,1.92,2.12,2.119401
0.9989603,1.92,2.12,2.119792
0.999915,1.92,2.12,2.119983
0.999915,1.92,2.12,2.12
0,2.12,1.92,2.12
0.0005427486,2.12,1.92,2.119891
0.002159617,2.12,1.92,2.119568
0.004848698,2.12,1.92,2.11903
0.008456893,2.12,1.92,2.118309
0.0129171,2.12,1.92,2.117416
0.0184545,2.12,1.92,2.116309
0.02486157,2.12,1.92,2.115028
0.03208996,2.12,1.92,2.113582
0.0401873,2.12,1.92,2.111962
0.04935599,2.12,1.92,2.110129
0.05894021,2.12,1.92,2.108212
0.06963777,2.12,1.92,2.106072
0.08148938,2.12,1.92,2.103702
0.09322103,2.12,1.92,2.101356
0.1057637,2.12,1.92,2.098847
0.1190974,2.12,1.92,2.09618
0.1363371,2.12,1.92,2.092732
0.151507,2.12,1.92,2.089699
0.175419,2.12,1.92,2.084916
0.1987384,2.12,1.92,2.080252
0.2233256,2.12,1.92,2.075335
0.2494363,2.12,1.92,2.070113
0.2771073,2.12,1.92,2.064579
0.3043634,2.12,1.92,2.059127
0.3229137,2.12,1.92,2.055417
0.3513784,2.12,1.92,2.049724
0.371416,2.12,1.92,2.045717
0.3908466,2.12,1.92,2.041831
0.4207156,2.12,1.92,2.035857
0.4506069,2.12,1.92,2.029879
0.4878723,2.12,1.92,2.022425
0.5121045,2.12,1.92,2.017579
0.5430112,2.12,1.92,2.011398
0.5613674,2.12,1.92,2.007726
0.5810851,2.12,1.92,2.003783
0.6007407,2.12,1.92,1.999852
0.6207955,2.12,1.92,1.995841
0.6407605,2.12,1.92,1.991848
0.6597582,2.12,1.92,1.988048
0.6784701,2.12,1.92,1.984306
0.6973158,2.12,1.92,1.980537
0.7162222,2.12,1.92,1.976755
0.7341737,2.12,1.92,1.973165
0.7524212,2.12,1.92,1.969516
0.769839,2.12,1.92,1.966032
0.7873412,2.12,1.92,1.962532
0.8039903,2.12,1.92,1.959202
0.8197179,2.12,1.92,1.956056
0.8430254,2.12,1.92,1.951395
0.8582396,2.12,1.92,1.948352
0.8799199,2.12,1.92,1.944016
0.8992802,2.12,1.92,1.940144
0.9114043,2.12,1.92,1.937719
0.9230697,2.12,1.92,1.935386
0.9340088,2.12,1.92,1.933198
0.9443542,2.12,1.92,1.931129
0.9539686,2.12,1.92,1.929206
0.9625047,2.12,1.92,1.927499
0.9707016,2.12,1.92,1.92586
0.9774013,2.12,1.92,1.92452
0.9836989,2.12,1.92,1.92326
0.9887167,2.12,1.92,1.922257
0.9948098,2.12,1.92,1.921038
0.9985478,2.12,1.92,1.92029
0.9998056,2.12,1.92,1.920039
0.9998056,1.92,2.12,1.820039
0,1.92,2.12,1.92
0.001194873,1.92,2.12,1.920239
0.003234398,1.92,2.12,1.920647
0.006463636,1.92,2.12,1.921293
0.01295495,1.92,2.12,1.922591
0.02183171,1.92,2.12,1.924366
0.02851235,1.92,2.12,1.925702
0.04016773,1.92,2.12,1.928033
0.04918618,1.92,2.12,1.929837
0.05877347,1.92,2.12,1.931755
0.07500802,1.92,2.12,1.935002
0.08648645,1.92,2.12,1.937297
0.0987649,1.92,2.12,1.939753
0.1117185,1.92,2.12,1.942344
0.1252408,1.92,2.12,1.945048
0.1392616,1.92,2.12,1.947852
0.1538751,1.92,2.12,1.950775
0.1692652,1.92,2.12,1.953853
0.1851936,1.92,2.12,1.957039
0.2016473,1.92,2.12,1.960329
0.2270812,1.92,2.12,1.965416
0.2445492,1.92,2.12,1.96891
0.2625245,1.92,2.12,1.972505
0.2805114,1.92,2.12,1.976102
0.2990785,1.92,2.12,1.979816
0.3276592,1.92,2.12,1.985532
0.3562024,1.92,2.12,1.99124
0.3749248,1.92,2.12,1.994985
0.3948805,1.92,2.12,1.998976
0.41565,1.92,2.12,2.00313
0.4451313,1.92,2.12,2.009026
0.4752148,1.92,2.12,2.015043
0.5061885,1.92,2.12,2.021238
0.5363888,1.92,2.12,2.027278
0.5562184,1.92,2.12,2.031244
0.5757849,1.92,2.12,2.035157
0.595507,1.92,2.12,2.039101
0.6155014,1.92,2.12,2.0431
0.6554525,1.92,2.12,2.05109
0.6835673,1.92,2.12,2.056713
0.7023165,1.92,2.12,2.060463
0.7293304,1.92,2.12,2.065866
0.7566931,1.92,2.12,2.071338
0.7736796,1.92,2.12,2.074736
0.7907416,1.92,2.12,2.078148
0.8073837,1.92,2.12,2.081477
0.831054,1.92,2.12,2.086211
0.8467293,1.92,2.12,2.089346
0.8613602,1.92,2.12,2.092272
0.8895409,1.92,2.12,2.097908
0.907989,1.92,2.12,2.101598
0.9200387,1.92,2.12,2.104008
0.9361835,1.92,2.12,2.107237
0.9462194,1.92,2.12,2.109244
0.9556053,1.92,2.12,2.111121
0.9642002,1.92,2.12,2.11284
0.9719843,1.92,2.12,2.114397
0.9788723,1.92,2.12,2.115774
0.9849337,1.92,2.12,2.116987
0.989885,1.92,2.12,2.117977
0.9938288,1.92,2.12,2.118766
0.9969084,1.92,2.12,2.119382
0.9989085,1.92,2.12,2.119781
0.99989,1.92,2.12,2.119978
0.99989,1.92,2.12,2.12
0,2.12,1.92,2.12
0.0005231143,2.12,1.92,2.119895
0.002122944,2.12,1.92,2.119575
0.00476621,2.12,1.92,2.119047
0.00838787,2.12,1.92,2.118322
0.01305032,2.12,1.92,2.11739
0.01853936,2.12,1.92,2.116292
0.02497917,2.12,1.92,2.115004
0.03246757,2.12,1.92,2.113506
0.0404805,2.12,1.92,2.111904
0.04927929,2.12,1.92,2.110144
0.05914667,2.12,1.92,2.108171
0.06977845,2.12,1.92,2.106044
0.0812057,2.12,1.92,2.103759
0.09316729,2.12,1.92,2.101367
0.1126679,2.12,1.92,2.097466
0.1256401,2.12,1.92,2.094872
0.139854,2.12,1.92,2.092029
0.1545175,2.12,1.92,2.089096
0.169956,2.12,1.92,2.086009
0.1857637,2.12,1.92,2.082847
0.2022574,2.12,1.92,2.079548
0.2190002,2.12,1.92,2.0762
0.2361944,2.12,1.92,2.072761
0.2537497,2.12,1.92,2.06925
0.2717378,2.12,1.92,2.065652
0.2974035,2.12,1.92,2.060519
0.3181098,2.12,1.92,2.056378
0.3371539,2.12,1.92,2.052569
0.3566896,2.12,1.92,2.048662
0.4022855,2.12,1.92,2.039543
0.496814,2.12,1.92,2.020637
0.5280173,2.12,1.92,2.014396
0.5483708,2.12,1.92,2.010326
0.5683851,2.12,1.92,2.006323
0.5882384,2.12,1.92,2.002352
0.6083834,2.12,1.92,1.998323
0.6278005,2.12,1.92,1.99444
0.6475925,2.12,1.92,1.990481
0.6765382,2.12,1.92,1.984692
0.695324,2.12,1.92,1.980935
0.7225929,2.12,1.92,1.975481
0.7412385,2.12,1.92,1.971752
0.758796,2.12,1.92,1.968241
0.7764989,2.12,1.92,1.9647
0.7933189,2.12,1.92,1.961336
0.8094832,2.12,1.92,1.958103
0.8260839,2.12,1.92,1.954783
0.8422107,2.12,1.92,1.951558
0.8569879,2.12,1.92,1.948602
